City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
6,Carnarvon,AU,87.58,few clouds,-24.8667,113.6333,
12,Atuona,PF,78.35,clear sky,-9.8,-139.0333,
13,Vanimo,PG,81.37,overcast clouds,-2.6741,141.3028,
15,Touros,BR,79.7,few clouds,-5.1989,-35.4608,
17,Pundaguitan,PH,81.1,broken clouds,6.3711,126.1689,
20,Vaini,TO,82.13,clear sky,-21.2,-175.2,
31,Rikitea,PF,79.47,light rain,-23.1203,-134.9692,
34,Nabire,ID,82.04,overcast clouds,-3.3667,135.4833,
38,Avarua,CK,82.45,few clouds,-21.2078,-159.775,
40,Pochutla,MX,75.81,clear sky,15.7432,-96.4661,
47,Merauke,ID,88.25,broken clouds,-8.4667,140.3333,
54,Hithadhoo,MV,81.01,overcast clouds,-0.6,73.0833,
60,Puerto Escondido,MX,77.83,clear sky,15.85,-97.0667,
64,Saint-Philippe,RE,79.11,scattered clouds,-21.3585,55.7679,
76,Busselton,AU,85.46,clear sky,-33.65,115.3333,
90,Hobart,AU,75.02,scattered clouds,-42.8794,147.3294,
95,Port Macquarie,AU,79.9,scattered clouds,-31.4333,152.9167,
97,Miri,MY,79.9,overcast clouds,4.4148,114.0089,
98,Georgetown,MY,84.13,moderate rain,5.4112,100.3354,
104,Iracoubo,GF,75.69,overcast clouds,5.4802,-53.2011,
121,Moerai,PF,80.01,overcast clouds,-22.4333,-151.3333,
125,San-Pedro,CI,77.18,few clouds,4.7485,-6.6363,
128,Vao,NC,81.46,overcast clouds,-22.6667,167.4833,
131,Gamba,GA,77.16,overcast clouds,-2.65,10.0,
137,Puerto Carreno,CO,80.37,broken clouds,6.189,-67.4859,
144,Mahebourg,MU,82.26,scattered clouds,-20.4081,57.7,
145,Resistencia,AR,81.1,clear sky,-27.4606,-58.9839,
150,Bambous Virieux,MU,82.22,scattered clouds,-20.3428,57.7575,
153,Banjar,ID,84.06,overcast clouds,-8.19,114.9675,
154,Butaritari,KI,82.44,scattered clouds,3.0707,172.7902,
162,Murray Bridge,AU,83.32,broken clouds,-35.1167,139.2667,
163,Sao Filipe,CV,76.84,overcast clouds,14.8961,-24.4956,
164,Muli,MV,81.99,overcast clouds,2.9167,73.5667,
168,Anito,PH,77.9,overcast clouds,12.4497,125.2886,
180,Faanui,PF,81.7,scattered clouds,-16.4833,-151.75,
185,Mana,GF,75.54,overcast clouds,5.6592,-53.7767,
187,Kailua,US,75.18,moderate rain,21.4022,-157.7394,
188,Bengkulu,ID,82.54,light rain,-3.8004,102.2655,
190,Kavieng,PG,83.19,light rain,-2.5744,150.7967,
191,Sorong,ID,83.25,overcast clouds,-0.8833,131.25,
196,Saint-Joseph,RE,78.1,scattered clouds,-21.3667,55.6167,
203,Salinopolis,BR,77.47,overcast clouds,-0.6136,-47.3561,
205,Paungde,MM,85.42,overcast clouds,18.4833,95.5,
217,Papara,BR,80.69,broken clouds,-3.9839,-38.7273,
220,Tutoia,BR,76.62,overcast clouds,-2.7619,-42.2744,
227,Gawler,AU,83.1,scattered clouds,-34.6,138.7333,
228,Tautira,PF,86.0,few clouds,-17.7333,-149.15,
248,Alice Springs,AU,85.55,clear sky,-23.7,133.8833,
254,Japura,ID,81.01,overcast clouds,-0.3167,102.35,
266,Nisia Floresta,BR,79.61,few clouds,-6.0911,-35.2086,
269,Natal,BR,79.45,few clouds,-5.795,-35.2094,
270,Alofi,NU,81.99,clear sky,-19.0595,-169.9187,
274,Yenagoa,NG,75.18,broken clouds,4.9247,6.2642,
276,Labuhan,ID,82.13,overcast clouds,-6.8844,112.2051,
278,Davila,PH,82.63,broken clouds,18.4726,120.5763,
285,Tiarei,PF,86.0,scattered clouds,-17.5333,-149.3333,
291,Hambantota,LK,75.54,broken clouds,6.1241,81.1185,
292,San Policarpo,PH,78.84,overcast clouds,12.1791,125.5072,
308,Souillac,MU,82.36,light rain,-20.5167,57.5167,
311,Padang,ID,86.05,overcast clouds,-0.9492,100.3543,
314,Trincomalee,LK,81.91,overcast clouds,8.5711,81.2335,
315,Beloha,MG,75.25,broken clouds,-25.1667,45.05,
323,Tual,ID,82.56,broken clouds,-5.6667,132.75,
326,Auki,SB,80.08,moderate rain,-8.7676,160.7034,
329,Alyangula,AU,87.91,broken clouds,-13.8483,136.4192,
341,Coolum Beach,AU,85.33,clear sky,-26.5333,153.1,
344,Kolar,IN,78.78,few clouds,13.1333,78.1333,
345,Axim,GH,77.23,clear sky,4.8699,-2.2405,
346,Port Blair,IN,82.44,scattered clouds,11.6667,92.75,
350,Ankazoabo,MG,77.27,clear sky,-22.2833,44.5167,
353,Ahipara,NZ,77.72,broken clouds,-35.1667,173.1667,
360,Kuching,MY,82.62,scattered clouds,1.55,110.3333,
363,Saint-Pierre,RE,79.18,clear sky,-21.3393,55.4781,
367,Bubaque,GW,78.03,clear sky,11.2833,-15.8333,
370,Tanete,ID,77.92,overcast clouds,-3.9443,119.7848,
371,Cayenne,GF,77.09,overcast clouds,4.9333,-52.3333,
373,Aitape,PG,81.41,light rain,-3.1374,142.3475,
375,Nioro,GM,77.04,clear sky,13.35,-15.75,
382,Kampong Cham,KH,89.76,broken clouds,11.9934,105.4635,
384,Vila Velha,BR,75.15,broken clouds,-20.3297,-40.2925,
386,Santiago Del Estero,AR,86.41,overcast clouds,-27.7951,-64.2615,
392,Cockburn Town,TC,77.95,clear sky,21.4612,-71.1419,
396,Sindon,PH,76.55,overcast clouds,17.0603,122.0151,
404,Pyinmana,MM,85.57,scattered clouds,19.7333,96.2167,
405,Dingle,PH,82.29,overcast clouds,10.9995,122.6711,
414,Itarema,BR,76.77,broken clouds,-2.9248,-39.9167,
417,Phan Thiet,VN,88.7,overcast clouds,10.9333,108.1,
418,Kudahuvadhoo,MV,81.77,overcast clouds,2.6708,72.8944,
428,Katobu,ID,78.24,overcast clouds,-4.9408,122.5276,
430,Nelson Bay,AU,79.11,broken clouds,-32.7167,152.15,
436,Boyolangu,ID,85.17,light rain,-8.1181,111.8935,
439,Luganville,VU,88.07,overcast clouds,-15.5333,167.1667,
440,Meulaboh,ID,84.22,broken clouds,4.1363,96.1285,
442,Bathsheba,BB,77.61,scattered clouds,13.2167,-59.5167,
444,Mitsamiouli,KM,81.54,light rain,-11.3847,43.2844,
448,Lorengau,PG,83.32,overcast clouds,-2.0226,147.2712,
452,Mae Sai,TH,76.35,broken clouds,20.4335,99.8762,
453,Maragogi,BR,77.99,overcast clouds,-9.0122,-35.2225,
455,Ugoofaaru,MV,81.09,scattered clouds,5.6667,73.0,
459,Kavaratti,IN,80.15,broken clouds,10.5669,72.642,
465,Moindou,NC,84.15,overcast clouds,-21.6924,165.677,
484,Pitimbu,BR,78.73,broken clouds,-7.4706,-34.8086,
487,Sola,VU,81.72,overcast clouds,-13.8833,167.55,
489,Launceston,AU,76.15,clear sky,-41.45,147.1667,
492,Labuan,MY,87.96,overcast clouds,5.2767,115.2417,
495,Kahului,US,76.26,scattered clouds,20.8947,-156.47,
497,Port-Gentil,GA,80.76,overcast clouds,-0.7193,8.7815,
501,Edd,ER,77.63,clear sky,13.9297,41.6925,
503,Quatre Cocos,MU,82.09,clear sky,-20.2078,57.7625,
516,Yarada,IN,79.12,haze,17.65,83.2667,
519,Yanam,IN,77.4,broken clouds,16.7333,82.2167,
526,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,
527,Neiafu,TO,84.88,few clouds,-18.65,-173.9833,
529,Gladstone,AU,84.13,clear sky,-23.85,151.25,
538,Ballina,AU,82.44,few clouds,-28.8667,153.5667,
540,Tucuman,AR,77.0,broken clouds,-26.8241,-65.2226,
549,Galesong,ID,84.22,overcast clouds,-5.3166,119.3661,
550,Samarai,PG,84.09,broken clouds,-10.6167,150.6667,
556,Champerico,GT,80.04,clear sky,14.3,-91.9167,
561,Takoradi,GH,77.7,clear sky,4.8845,-1.7554,
563,Road Town,VG,75.29,clear sky,18.4167,-64.6167,
566,Tabou,CI,78.04,scattered clouds,4.423,-7.3528,
575,Tadine,NC,83.1,overcast clouds,-21.55,167.8833,
590,Coffs Harbour,AU,82.36,scattered clouds,-30.3,153.1333,
593,Dakar,SN,83.28,scattered clouds,14.6937,-17.4441,
605,Manokwari,ID,82.92,overcast clouds,-0.8667,134.0833,
606,Buala,SB,82.2,moderate rain,-8.145,159.5921,
611,Santo Amaro Da Imperatriz,BR,77.77,overcast clouds,-27.6881,-48.7786,
616,Bima,ID,83.8,overcast clouds,-8.4667,118.7167,
621,Port Augusta,AU,88.7,clear sky,-32.5,137.7667,
627,Cap Malheureux,MU,82.47,clear sky,-19.9842,57.6142,
633,Kendari,ID,81.88,overcast clouds,-3.945,122.4989,
643,Tarakan,ID,81.9,scattered clouds,3.3,117.6333,
647,Balaipungut,ID,81.01,overcast clouds,1.05,101.2833,
651,Imbituba,BR,77.83,broken clouds,-28.24,-48.6703,
655,Okaihau,NZ,75.52,broken clouds,-35.3167,173.7833,
660,Sinnamary,GF,75.58,broken clouds,5.3833,-52.95,
663,Morondava,MG,80.01,scattered clouds,-20.2833,44.2833,
674,The Valley,AI,77.09,scattered clouds,18.217,-63.0578,
683,Guaruja,BR,76.89,broken clouds,-23.9931,-46.2564,
684,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,
685,Mogadishu,SO,76.19,broken clouds,2.0371,45.3438,
686,Salgado,BR,81.3,scattered clouds,-11.0319,-37.475,
687,Rancho Palos Verdes,US,75.27,clear sky,33.7445,-118.387,
690,Shwebo,MM,77.27,clear sky,22.5667,95.7,
698,Bowen,AU,84.27,clear sky,-20.0167,148.2333,
699,Ransang,PH,84.88,light rain,8.9603,117.5828,
700,Kieta,PG,82.31,moderate rain,-6.2167,155.6333,
